-108	-240	-578
-193	-96	-555
-243	102	-482
-134	416	-217
186	391	123
78	264	298
-3	136	368
-25	66	399
13	-434	340
83	-608	191
120	-671	83
160	-690	-20
161	-689	-156
140	-607	-377
8	-391	-556
-82	-248	-584
-114	-143	-586
-115	-11	-571
-206	103	-496
-326	235	-310
-330	299	-197
-345	305	-108
-345	293	14
-312	229	162
-198	176	255
-70	52	314
-26	47	332
82	-178	420
136	-386	389
130	-528	313
47	-622	217
-6	-621	200
-63	-615	195
-46	-584	236
-8	-499	328
7	-279	442
-62	135	377
-71	247	299
-17	292	275
-66	373	186
-141	428	36
-159	437	-22
-169	434	-113
-176	411	-199
-160	385	-277
-71	170	-522
-30	-15	-594
31	-194	-608
38	-275	-597
70	-373	-566
102	-418	-547
171	-444	-527
236	-468	-497
226	-506	-470
190	-440	-524
182	-397	-548
175	-379	-557
193	-408	-541
203	-483	-500
187	-580	-407
143	-624	-313
146	-652	-226
175	-725	-209
222	-592	-411
258	-509	-465
295	-426	-499
218	-309	-574
-1	-422	-543
-177	-423	-487
-321	-312	-444
-302	-204	-475
-257	-247	-494
-127	-302	-546
144	-411	-538
287	-450	-475
324	-566	-343
204	-686	-192
54	-694	-44
-40	-641	65
-81	-594	128
-80	-583	144
-24	-629	91
294	-645	-192
234	-538	-446
150	-375	-569
7	-323	-588
-108	-412	-525
-125	-464	-485
-51	-411	-537
-28	-340	-574
20	-298	-593
178	-136	-609
238	-60	-594
216	40	-584
197	108	-566
227	84	-565
240	83	-559
226	49	-572
215	111	-551
146	240	-500
-91	243	-494
-164	218	-485
-213	189	-481
-250	133	-491
-267	97	-493
-244	149	-485
-69	220	-515
146	198	-531
277	-92	-575
129	-356	-552
-141	-340	-542
-217	-391	-480
-299	-437	-387
-282	-491	-352
-309	-425	-390
-248	-285	-508
-225	-298	-518
-101	-375	-538
173	-372	-546
147	236	-491
-78	277	-458
-214	204	-458
-292	101	-464
-323	-4	-476
-320	-87	-487
-312	-47	-489
-259	67	-501
7	269	-478
374	-119	-519
59	-446	-523
-75	-386	-538
-153	-293	-549
-216	-217	-539
-247	-199	-524
-166	-253	-552
66	-358	-561
250	-197	-567
34	221	-507
-125	170	-514
-193	96	-518
-193	51	-531
-199	-28	-546
-192	-181	-553
-71	-254	-578
-35	-288	-573
-12	-316	-569
-231	-253	-518
-326	-30	-471
-227	196	-452
-110	280	-443
-53	285	-451
22	328	-422
35	357	-392
36	349	-399
-9	340	-408
-78	70	-567
-150	-373	-517
-198	-445	-448
-244	-496	-366
-234	-570	-255
-162	-620	-208
-5	-668	-89
105	-657	-22
96	-625	86
80	-548	213
-39	-219	421
-33	25	436
-34	77	427
-49	44	433
-88	181	386
-44	316	305
99	442	124
343	365	-157
399	255	-289
335	284	-325
313	290	-335
322	273	-347
256	334	-325
221	351	-323
283	285	-364
319	208	-412
111	282	-439
-35	328	-394
-194	77	-511
-199	-150	-542
-199	-177	-540
-215	-177	-533
-230	-70	-528
-119	212	-478
-16	364	-368
165	449	-22
175	445	-93
151	347	217
139	169	350
66	-79	410
-34	-188	395
-71	-259	371
-126	-344	326
-229	-443	205
-342	-470	21
-385	-449	-71
-424	-396	-153
-174	-322	-520
-76	-228	-577
-42	-221	-585
2	-187	-595
98	-75	-598
182	42	-564
243	27	-549
271	15	-541
243	81	-533
177	66	-556
238	67	-541
304	39	-521
360	44	-482
381	66	-457
377	-226	-488
427	-162	-458
442	107	-371
347	353	-164
153	440	60
88	422	140
26	330	273
60	258	325
120	180	356
194	100	367
264	-115	360
268	-292	314
318	-419	204
297	-579	-25
348	-560	-160
316	-562	-252
264	-566	-320
243	-530	-394
200	-471	-475
126	-441	-516
88	-396	-547
38	-341	-571
54	-313	-578
87	-271	-590
109	-175	-600
195	9	-570
342	132	-461
363	160	-427
347	168	-433
334	160	-448
317	63	-507
302	-102	-546
267	-351	-516
263	-501	-411
245	-585	-295
269	-607	-190
284	-603	-91
260	-598	-2
222	-561	120
228	-413	280
222	-224	368
184	4	395
176	111	374
187	202	332
201	286	268
-203	389	140
-477	168	25
-478	169	6
-497	132	-12
-523	50	-27
-526	-187	-96
-471	-322	-207
-431	-348	-277
-358	-424	-327
-187	-515	-396
-100	-432	-505
-68	-314	-567
-95	-205	-583
-93	-145	-588
-238	11	-515
-128	-68	-575
-26	-118	-597
-17	-206	-594
21	-320	-572
44	-333	-570
81	-359	-561
152	-436	-512
194	-487	-467
166	-491	-472
